,rating,comment
0,5,Lovely
1,5,Value for money
2,4,Awesome product 👍
3,4,Best
4,5,Excellent
5,5,Awesome monitor for WFHsize is also perfect.It can be tilted by loosing screws behind black tape of the stand.
6,4,Nice Product
7,5,It's good 👍
8,4,I bought it under 9k and it's 24inch monitor with ips pannel and amd Free sync one of the best monitor under budget of 10k . Best thing-1. Full hd IPS display2. Mat display3. Manual colour control4. Great build quality5. Wall mounte support
9,5,Best product....Buy it...
10,5,Monitor is too good for working and entertainment. Even for gaming it has 75hz refresh rate.
11,5,Such a brilliant picture quality in this price bracket. Tremendous brightness with utra sharp viewing experience. Got the monitor in very reasonable price compare than market. Go with this without any doubt. Worth every penny
12,5,"Colors are very vibrant and quite natural,I just loved it.Thanks Samsung!"
13,5,Dish product was very goodAmazing display thankyou
14,5,"Amazing monitor, totally worth the price, has a modern look and very thin bezels…colours are vibrant as well…delivered in just 2 days …loved it"
15,5,Spectacular screen quality at this price🔥🔥
16,5,Very Nice 👍
17,4,"Samsung makes good tv's. With monitors, it's a little different. From 2 feet distance, even the lowest brightness settings on this are severely discomforting. Only way to use this is to turn down rbg individually at zero brightness. Then, this becomes useful.The eye care mode is a joke - the panel would become warm and really bright while the brightness settings are disabled.If you want to buy Samsung - like I did - get this. Good for watching content now n then. For serious 10 hr+ workdays..."
18,4,Decent monitor at this price range. Bought it for wfh and it's serving the purpose. Could have been better with tilt adjustment.
19,5,Awesome
20,4,Quality Very good I am so happy 4k Support 😌
21,5,Excellent
22,5,Don't think so much just buy it . quality is very good 😊Pictures Quality is amazing 😍.27inch is amazing 😍
23,5,Its awesome
24,5,Good product
25,5,"Nice monitor,Samsung is best and value for manoy,"
26,4,SAMSUNG MONITOR 22 INCHi think this monitor is value for money.It's a very good product has good clarity. Very much satisfied with the new monitor.
27,5,Full Hd Video Quality by Samsung
28,5,"It's a very good product has good clarity, adequate refresh rate  and is pretty reasonable priced. I want to specifically mention that though this does not have height adjustment,but INCLUDES TILT ADJUSTMENT. Please check for screws in the cavity of the notch in the stand you are attaching to the back of the monitor.,( They are under a black tape sometimes) else everything is worth the money"
29,5,Just wow 😳.But brightness to much.set It low it's good for ur eyes.And don't think about colour punchy here.And black 🖤 😲.
30,5,Very much satisfied with the new monitor. I upgraded my old monitor with this one. Display clarity is great. Registered the product with Samsung product registration online and was able to view the warranty information.
31,5,"Awesome quality display , wider screen."
32,5,Best at this price segment
33,5,Wonderful device
34,5,Wow❤ nice picture quality 😍😍😍
35,5,very good quality products
36,5,Best
37,5,"Very bright skins, I love samsung Monitor."
38,5,Beautiful picture quality🤩. The best part is the color saturation. I am very satisfied with this product🤗. Would strongly suggest at this price range. Delivery from Flipkart was also before time. Thank you Flipkart.
39,5,Picture Quality Superb ❤️ I luv IPS panel.
40,5,Awesome product
41,4,Very nice
42,5,Budget monitor!  Go for it!!
43,5,Value for money 💸
44,5,Nic
45,4,"Display quality Very good.  And comes with IPS display which is usually used in our phone, only then its quality is very good, I am telling you to use it after 2 days and you get 3 year guarantee from Samsung company.  What to fear for 3 years when Samsung is with us that too at this price yes if it had speakers and inbuilt speaker then it would have been fun and the design build quality is very good The only drawback is there is no inbuilt speaker..☺️🙂"
46,4,Nice
47,5,Good product.video quality is amazing 👍👍
48,5,Wonderful product in a reasonable price. 👌
49,5,Awesome monitor.
50,5,Good quality
51,4,Excellent product
52,5,"Five stars for the product 2 stars for flipkart.I needed a second monitor for my work and it is best choice for me. No edge bleeding colors are almost near to perfect. Bezzles are thin, look wise goodCons:This is not a con but it took me a while to get that the power itself is the menu control button.There are only 1 HDMI (cable included in the box, I really appreciate that) and 1 old school VGA which is of no use these days for many of the people.I'm not a fan of the power brick...."
53,5,product was good Feeling like a few more money
54,4,"Just today I brought this monitor . With the monitor I got  that adaptor for power supply, hdmi cable etc. I registered at the samsung website for extended warranty offer also. Nice monitor with sleek design. It has PC mode and video mode. AMD sync and all is available if used only with AMD graphic cards. I recommend everyone for this monitor since you can read all websites and all clearly. I had used a 21.5 inch earlier, now wished the horizontal  screen size could be a bit more, but still i..."
55,5,Pixel quality not good with using laptop through HDMIOther than this all good
56,5,Amazing display.
57,5,Good product. I am really happy to have this.
58,5,Best product. Full HD Display.
59,5,Pictures quality is very nice
60,5,Super quality I love this product 💓
61,5,Great Deal amazing ips displayThank you flipkart
62,5,working smooth. Display is good. It has eye protection mode also.
63,4,"Loved it , go for it , display is 10 out of 8 , panels are awesome, viewing angle is great , in this price range i don't think anyone can get better then this !"
64,5,Nice samsung monitor always best
65,5,"I have been using this monitor for 6 months as of now. The monitor is good, has good color output, enough space for multitasking. But, as it is a 24 inch monitor, we can clearly see the lack of details while watching a Full HD movie or any such kind of high resolution content. Initially I had set up this monitor and tried to tilt adjust the screen for a better viewing angle. But, I was unable to do so. The screen was always facing down in an awkward angle. I thought, how dumb could SAMSUNG b..."
66,5,Nyc product qulity
67,4,As per Specifications all are top of the mark but one thing I would like unhide about this monitor is that when you enable eye saver mode the brightness controller get disable which I personally don't like as I think brightness level is bit high for me to work for long hours. And also there's only one HDMI and one VGA port available here there should be one more DP or HDMI port available on this for smooth work flow with other devices. Otherwise for flipkart side 5 stars for thier delivery be...
68,3,"As u can see in pic there is IPS glow and blacklight bleed,it's not a big deal if uwatch movie or play horror games it will be quite annoying other than everything works fine"
69,3,"The tilting of stand is janky , you have to loosen and tighten screws accordingly, build quality is not so good."
70,5,"Less bezel premium feel, ips full hd wide angle view, 27 inch large screen , 75hz , no speakers."
71,4,Value for money
72,4,Nice product
73,4,Value for money
74,5,Always best products Flipcart ❤️❤️🫡✅✅ 1no
75,5,Display is awesome 😊
76,5,Worth of money
77,5,This product is awesome and it has vary nice quality
78,5,I love ❤ the product
79,5,Good at this price
80,5,"This product is very nice 👍😊Samsung is a branded company in india. and my segment range is very low but product quality is good. You will use this product any uses gaming, coding, education etc."
81,5,"Good product, with low black levels."
82,5,Just Amazing product thnks flipkart... very impressive colour saturations..overall nice monitor
83,5,I love this product So is Nice screen 😍😘😘 great product
84,5,Mind blowing display quality... Just wow... Samsung is always the best...
85,5,Excellent product
86,5,Excellent product
87,4,There is no speaker in this. Better go for LG monitor. Or 27 inch model of samsung. It has speakers and better views
88,4,Very good product
89,4,Best LED
90,4,Such a nice monitor 😄 borderless display was awesome & Brightness.
91,4,"Its good, the only difficulty is with adjusting the tilt of the screen. In order to tilt you have to remove the whole leg.Overall its good."
92,5,Owsm product 👌👌
93,5,"Got this 27 inch screen for 9500 only, will share more things later"
94,5,Best display in this price
95,5,Nice product
96,5,"Very nice monitor, 🤩 Display and Videos view very nice 👍Happy this Product 😀🎊"
97,5,Excellent monitor in this price range. Very good and lively colour reproduction. Have purchased it mainly for entertainment purpose. Using it with my Mi Box 4k. Happy with this product so far.
98,5,good product. display quality 1St class
99,5,All good 👍
100,5,Nice display monitor
101,5,Amazing Product 🔥🔥🔥
102,5,Good for programming. U can go for it and also it is value for money.But u can't adjust any way like neither vertically nor horizontally.
103,5,This product is superb 👌🏻 excellent...Picture quality is beautiful...Full payasa  basul😊
104,5,Samsung monitor 2 in 1 use good quality
105,5,Great.. must have it
106,5,Awesome
107,5,Owsum product
108,5,I loved the product received just today. Overall everything looks great. Let's see how can it will be performing good.
109,5,Excellent performance very good quality.... Highly recommend best collection
110,5,"working great so many, its been months and its showing its worth daily. Recommended!"
111,5,"Except adjustment , everything is perfect under this budjet category."
112,5,Nice wow
113,5,This product works fine. Samsung is awesome as usual.
114,5,Good Bezel less Monitor for Working as well as Casual Gaming and Editing Puposes
115,5,Extremely satisfied with the quality and HD display..
116,4,Excellent picture quality.
117,4,Best Budget FHD Monitor at this range. Look 👌Build Quality 👌Brightness ✅Viewing Angle ✅Sharpness ✅Color ✅Gaming ✅
118,3,Can you send me HDMI cable?Bcz no hdmi cable inside box
119,5,Good product Samsung monitor clear value for money thanks flip kart 👍🏻
120,5,Performance is very Awesome colour is very Bright bole to Paisa wasul😘😘
121,5,It's perfect for office work but it doesn't have in built speaker but quality is good and I have purchased it at 7k in BB day
122,5,Nice
123,5,Good
124,5,Very nice product
125,5,Really good product. Sharp and vivid display with Matt screen helps when you’re working long hours. Size is optimum and build quality is good.
126,5,Best on this price    Op
127,3,Its okay in this price. Using last one month. If they provides  one more HDMI port and a small speaker then it will be a complete monitor.
128,3,The screen turns off when it's circuit heats up becoz of long hours of use.
129,5,"Don't mind other criticizing comments. This monitor is exceptional! When I ordered this, I didn't expect much but, oh my god, this monitor is definitely worth it. Afterall this is a samsung product so quite naturally I did expect the picture quality to be great and I must say rather than being not just disappointed I am totally satiated . It can meet all your gaming needs aswell as watching quality contents but the 75hz refresh rate is not specifically made for competitive gamers. There is no..."
130,4,"Build quality, fit and finish is not good. Picture quality is good though. For 8999 it's a good buy if you don't mind poor build quality."
131,4,"Working as expected, everything is good.But only disadvantage is when I'm trying to connect MI TV stick hdmi is not working and that port is so thin,but you can use hdmi cable to connect laptop or CPU."
132,4,Good product for video editing
133,4,Good product
134,4,Satisfy ...good 😊 quality and resolution
135,4,One of the best product in badget
136,4,Good
137,4,Brightness 🔅 Is very goodPicture quality very good Overall all good enoughBut monitor tilt adjustable not so good4.5/5 Ratting
138,4,ProsGreat display.Responsive.Looks greatConsNo speaker / speaker outputAdjusting the tilt adjustment is a task.
139,4,"Plus points :Screen quality,Slim and fit Quality material.Minus is points U can't adjust or rotate the screen up and down.Apart from this everything is good to buy this product."
140,4,Best product best screen rotation  not available u can't move screen viewing angle
141,4,If you need a good quality screen go for it
142,4,"Pros-Good display,budget friendly 8.5k,Eye saver modeCons-No height adjustment,No usb port, 3.5mm portTip-Install the driver if you want to play games .Sometimes the screen goes off for a sec and I don't know the reason."
143,4,"Good quality monitor,mind blowing"
144,4,Cheapest ips monitor in india rn. It got 73% NTSC in my testing.
145,4,Colour problem
146,4,Good
147,4,Value for money product.
148,4,Picture quality is Awesome.
149,4,Excellent monitor for the price
150,4,Awesome product. very good display.....
151,4,Good to buy.....
152,5,It's the best display for the price of 9k. You won't regret.Just turn off the dynamic brightness and keep the black level to normal. After that the colors are all natural without any processing.
153,5,Excellent Picture quality is awesome..This almost bezel less full hd ips panel is indeed worth buying...👍
154,5,"It's a very good product. I have been using it for 3 months now. Please go for 27 inch screen, the quality is great for this price."
155,5,Vedy nice product... specially awesome display...
156,5,Very good
157,5,Picture quality is very good
158,5,Awesome monitor 😍😍
159,5,Happy happy happy
160,5,Nice.monitor. this is my second time i purchased this monitor. Looking good and done the job for me.
161,5,Fabulous 😍
162,5,best Samsung ips panel monitor
163,5,"Good viewing angle, good for gaming also.Only con is the screen is still somewhat bright even in low settings"
164,5,"Exceptional 🌟 Don't just go with the VA panel monitor,the IPS panel is best.Samsung has the best panel in the world."
165,5,"I liked the Samsung 24 inch Full HD LED IPS panel monitor. I am using it now for a year and have no complaints. Purchased it in around 8.5k. Packaging was nice, installation is easy."
166,5,Best for trading /stock market
167,5,Best Display IPS Panel.Good Product.Delivery boy is also good.
168,5,Excellent
169,5,Excellent MonitorDisplay Very Sharp Colour accurate very niceNo eyes strain no tearingNo flickerBest MonitorGamming and Editing purpose
170,5,"Recently tried few brand monitors to find a best one for Eye-care to work with very minimal brightness. This is the one. It is Anti Glare monitor. At very low brightness too, each and every pixel on the screen is easily readable. Eye strain is more or less disappeared after using this monitor."
171,5,very nice ❣
172,5,"Received Excellent Condition, Working Fine, I'm Happy 😊"
173,5,Awsm product ✌🏻✌🏻
174,5,Worth for value product compare to price. Design and build quality is good. It comes with HDMI cable as well. Go fot it.
175,5,Real nice 👍
176,5,"Today I got delivery of my 22 Inch monitor. Very good looking monitor i will give 5 Star ⭐ for monitor, but delivery experience is not good with ekart , I will give only 2  Star."
177,5,Excellent monitor in this price range.
178,5,Best quality products 😉.. vale for money 9000
179,5,24 hrs works right choice
180,5,"24 inch . Got delivered without a scratch on the box and the product itself was fresh and must say this monitor in bang for the buck with 3 yr warranty  and the panel is very sharp and clear. bezels are also very thin. From right, left and top. Totally loved this purchase."
181,5,superb product from samsung.....very nice display with full brightness .
182,5,"Very good product, Our entire office uses this monitor no doubt this is good product at this price rate, don't search for other monitor this is best"
